Series_Title,Director,type
Clerks,Kevin Smith,DVD
Ladri di biciclette,Vittorio De Sica,DVD
Dom za vesanje,Emir Kusturica,DVD
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,DVD
Dev.D,Anurag Kashyap,DVD
The Big Short,Adam McKay,DVD
Nefes: Vatan Sagolsun,Levent Semerci,DVD
Once Upon a Time in the West,Sergio Leone,DVD
"Aguirre, der Zorn Gottes",Werner Herzog,DVD
The Last King of Scotland,Kevin Macdonald,DVD
The Lion King,Roger Allers,DVD
Control,Anton Corbijn,DVD
À bout de souffle,Jean-Luc Godard,DVD
Sense and Sensibility,Ang Lee,DVD
Papillon,Franklin J. Schaffner,DVD
Der Untergang,Oliver Hirschbiegel,DVD
The Bridges of Madison County,Clint Eastwood,DVD
Edge of Tomorrow,Doug Liman,DVD
Saw,James Wan,DVD
This Is Spinal Tap,Rob Reiner,DVD
Serenity,Joss Whedon,DVD
La leggenda del pianista sull'oceano,Giuseppe Tornatore,DVD
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,DVD
The Muppet Movie,James Frawley,DVD
The Goonies,Richard Donner,DVD
Notorious,Alfred Hitchcock,DVD
Kal Ho Naa Ho,Nikkhil Advani,DVD
Doctor Zhivago,David Lean,DVD
October Sky,Joe Johnston,DVD
The Man Who Would Be King,John Huston,DVD
Hauru no ugoku shiro,Hayao Miyazaki,DVD
The Breakfast Club,John Hughes,DVD
Shine,Scott Hicks,DVD
The Great Dictator,Charles Chaplin,DVD
Silver Linings Playbook,David O. Russell,DVD
Dead Man,Jim Jarmusch,DVD
Ocean's Eleven,Steven Soderbergh,DVD
Serbuan maut 2: Berandal,Gareth Evans,DVD
A Wednesday,Neeraj Pandey,DVD
Laura,Otto Preminger,DVD
Smultronstället,Ingmar Bergman,DVD
Billy Elliot,Stephen Daldry,DVD
Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,DVD
Singin' in the Rain,Stanley Donen,DVD
The Thin Man,W.S. Van Dyke,DVD
Little Women,Greta Gerwig,DVD
Baby Driver,Edgar Wright,DVD
Crash,Paul Haggis,DVD
Jaws,Steven Spielberg,DVD
Persepolis,Vincent Paronnaud,DVD
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,DVD
Moneyball,Bennett Miller,DVD
The Secret of Kells,Tomm Moore,DVD
The Straight Story,David Lynch,DVD
Special Chabbis,Neeraj Pandey,DVD
Coraline,Henry Selick,DVD
"Il buono, il brutto, il cattivo",Sergio Leone,DVD
The Visitor,Tom McCarthy,DVD
La double vie de Véronique,Krzysztof Kieslowski,DVD
Finding Neverland,Marc Forster,DVD
The Wrestler,Darren Aronofsky,DVD
Mou gaan dou,Andrew Lau,DVD
Into the Wild,Sean Penn,DVD
Shichinin no samurai,Akira Kurosawa,DVD
The Warriors,Walter Hill,DVD
Batoru rowaiaru,Kinji Fukasaku,DVD
Kahaani,Sujoy Ghosh,DVD
Kick-Ass,Matthew Vaughn,DVD
Office Space,Mike Judge,DVD
Gully Boy,Zoya Akhtar,DVD
Changeling,Clint Eastwood,DVD
Gone Baby Gone,Ben Affleck,DVD
Fanny och Alexander,Ingmar Bergman,DVD
Ratatouille,Brad Bird,DVD
Mystic River,Clint Eastwood,DVD
Das weiße Band - Eine deutsche Kindergeschichte,Michael Haneke,DVD
Blade Runner 2049,Denis Villeneuve,DVD
Anatomy of a Murder,Otto Preminger,DVD
Nuovo Cinema Paradiso,Giuseppe Tornatore,DVD
Spider-Man: Into the Spider-Verse,Bob Persichetti,DVD
Before Midnight,Richard Linklater,DVD
Kingsman: The Secret Service,Matthew Vaughn,DVD
The Pianist,Roman Polanski,DVD
The Florida Project,Sean Baker,DVD
The Gold Rush,Charles Chaplin,DVD
Hacksaw Ridge,Mel Gibson,DVD
Breakfast at Tiffany's,Blake Edwards,DVD
Breaking the Waves,Lars von Trier,DVD
The Best Years of Our Lives,William Wyler,DVD
My Left Foot: The Story of Christy Brown,Jim Sheridan,DVD
Sabrina,Billy Wilder,DVD
Lucky Number Slevin,Paul McGuigan,DVD
The Royal Tenenbaums,Wes Anderson,DVD
Veer-Zaara,Yash Chopra,DVD
Paths of Glory,Stanley Kubrick,DVD
12 Angry Men,Sidney Lumet,DVD
Zwartboek,Paul Verhoeven,DVD
The Boy in the Striped Pyjamas,Mark Herman,DVD
Taegukgi hwinalrimyeo,Je-kyu Kang,DVD
Blood Diamond,Edward Zwick,DVD
All That Jazz,Bob Fosse,DVD
Adams æbler,Anders Thomas Jensen,DVD
Rashômon,Akira Kurosawa,DVD
Sin City,Frank Miller,DVD
Halloween,John Carpenter,DVD
Gongdong gyeongbi guyeok JSA,Chan-wook Park,DVD
Carlito's Way,Brian De Palma,DVD
Black Swan,Darren Aronofsky,DVD
Lawrence of Arabia,David Lean,DVD
Waking Life,Richard Linklater,DVD
Lola rennt,Tom Tykwer,DVD
